,countriesAndTerritories,rankpunteggiocasi,countriesAndTerritories,countriesAndTerritories,casimed,countriesAndTerritories,tendenzacasi,index,2020-05-24 00:00:00,countriesAndTerritories,casitot
78,Guinea_Bissau,77.0,Guinea_Bissau,Guinea_Bissau,11.0,Guinea_Bissau,1,Guinea_Bissau,25,Guinea_Bissau,1114
79,Guyana,150.0,Guyana,Guyana,2.1,Guyana,0,Guyana,0,Guyana,127
80,Haiti,85.0,Haiti,Haiti,6.1,Haiti,2,Haiti,53,Haiti,865
81,Holy_See,199.0,Holy_See,Holy_See,0.0,Holy_See,1,Holy_See,0,Holy_See,12
82,Honduras,47.0,Honduras,Honduras,19.1,Honduras,2,Honduras,266,Honduras,3743
83,Hungary,78.0,Hungary,Hungary,3.5,Hungary,0,Hungary,28,Hungary,3741
84,Iceland,144.0,Iceland,Iceland,0.9,Iceland,2,Iceland,1,Iceland,1804
85,India,38.0,India,India,4.4,India,2,India,6767,India,131868
86,Indonesia,49.0,Indonesia,Indonesia,2.6,Indonesia,2,Indonesia,949,Indonesia,21745
87,Iran,8.0,Iran,Iran,27.1,Iran,2,Iran,1869,Iran,133521
88,Iraq,70.0,Iraq,Iraq,3.8,Iraq,2,Iraq,308,Iraq,4272
89,Ireland,43.0,Ireland,Ireland,16.1,Ireland,1,Ireland,76,Ireland,24582
90,Isle_of_Man,147.0,Isle_of_Man,Isle_of_Man,2.0,Isle_of_Man,0,Isle_of_Man,0,Isle_of_Man,336
91,Israel,90.0,Israel,Israel,1.4,Israel,0,Israel,0,Israel,16690
92,Italy,20.0,Italy,Italy,10.7,Italy,0,Italy,669,Italy,229327
93,Jamaica,133.0,Jamaica,Jamaica,1.7,Jamaica,2,Jamaica,6,Jamaica,550
94,Japan,87.0,Japan,Japan,0.3,Japan,0,Japan,14,Japan,16550
95,Jersey,123.0,Jersey,Jersey,6.2,Jersey,0,Jersey,0,Jersey,306
96,Jordan,124.0,Jordan,Jordan,1.5,Jordan,2,Jordan,4,Jordan,704
97,Kazakhstan,36.0,Kazakhstan,Kazakhstan,17.2,Kazakhstan,2,Kazakhstan,403,Kazakhstan,8322
98,Kenya,107.0,Kenya,Kenya,1.0,Kenya,2,Kenya,31,Kenya,1192
99,Kosovo,98.0,Kosovo,Kosovo,6.3,Kosovo,2,Kosovo,21,Kosovo,1025
100,Kuwait,19.0,Kuwait,Kuwait,226.2,Kuwait,1,Kuwait,900,Kuwait,20464
101,Kyrgyzstan,88.0,Kyrgyzstan,Kyrgyzstan,4.9,Kyrgyzstan,0,Kyrgyzstan,39,Kyrgyzstan,1403
102,Laos,180.0,Laos,Laos,0.0,Laos,1,Laos,0,Laos,19
103,Latvia,111.0,Latvia,Latvia,3.3,Latvia,0,Latvia,16,Latvia,1046
104,Lebanon,93.0,Lebanon,Lebanon,4.5,Lebanon,2,Lebanon,11,Lebanon,1097
105,Lesotho,178.0,Lesotho,Lesotho,0.1,Lesotho,2,Lesotho,1,Lesotho,2
106,Liberia,152.0,Liberia,Liberia,1.0,Liberia,2,Liberia,6,Liberia,255
107,Libya,165.0,Libya,Libya,0.2,Libya,2,Libya,3,Libya,75
108,Liechtenstein,189.0,Liechtenstein,Liechtenstein,0.0,Liechtenstein,1,Liechtenstein,0,Liechtenstein,83
109,Lithuania,98.0,Lithuania,Lithuania,4.5,Lithuania,2,Lithuania,12,Lithuania,1616
110,Luxembourg,67.0,Luxembourg,Luxembourg,12.3,Luxembourg,0,Luxembourg,9,Luxembourg,3990
111,Madagascar,129.0,Madagascar,Madagascar,0.9,Madagascar,0,Madagascar,0,Madagascar,448
112,Malawi,160.0,Malawi,Malawi,0.1,Malawi,2,Malawi,1,Malawi,83
113,Malaysia,82.0,Malaysia,Malaysia,1.5,Malaysia,2,Malaysia,48,Malaysia,7185
114,Maldives,58.0,Maldives,Maldives,67.5,Maldives,2,Maldives,29,Maldives,1303
115,Mali,116.0,Mali,Mali,1.4,Mali,2,Mali,46,Mali,1015
116,Malta,79.0,Malta,Malta,19.3,Malta,0,Malta,9,Malta,609
117,Mauritania,113.0,Mauritania,Mauritania,6.2,Mauritania,2,Mauritania,54,Mauritania,227
118,Mauritius,175.0,Mauritius,Mauritius,0.0,Mauritius,1,Mauritius,0,Mauritius,332
119,Mexico,10.0,Mexico,Mexico,22.0,Mexico,2,Mexico,3329,Mexico,65856
120,Moldova,44.0,Moldova,Moldova,43.9,Moldova,0,Moldova,147,Moldova,6994
121,Monaco,126.0,Monaco,Monaco,8.6,Monaco,2,Monaco,1,Monaco,98
122,Mongolia,168.0,Mongolia,Mongolia,0.1,Mongolia,0,Mongolia,0,Mongolia,141
123,Montenegro,177.0,Montenegro,Montenegro,0.0,Montenegro,1,Montenegro,0,Montenegro,324
124,Montserrat,200.0,Montserrat,Montserrat,0.0,Montserrat,1,Montserrat,0,Montserrat,11
125,Morocco,71.0,Morocco,Morocco,2.5,Morocco,2,Morocco,74,Morocco,7406
126,Mozambique,154.0,Mozambique,Mozambique,0.2,Mozambique,1,Mozambique,4,Mozambique,168
127,Myanmar,163.0,Myanmar,Myanmar,0.0,Myanmar,0,Myanmar,0,Myanmar,201
128,Namibia,170.0,Namibia,Namibia,0.3,Namibia,2,Namibia,1,Namibia,20
129,Nepal,113.0,Nepal,Nepal,1.7,Nepal,2,Nepal,36,Nepal,584
130,Netherlands,37.0,Netherlands,Netherlands,10.3,Netherlands,2,Netherlands,176,Netherlands,45064
131,New_Caledonia,194.0,New_Caledonia,New_Caledonia,0.0,New_Caledonia,1,New_Caledonia,0,New_Caledonia,18
132,New_Zealand,148.0,New_Zealand,New_Zealand,0.2,New_Zealand,1,New_Zealand,0,New_Zealand,1154
