Rank,Country,CaseM,Tendenza,CaseNew,Casitot
195.0,Saint_Lucia,0.0,1,0,18
167.0,Saint_Vincent_and_the_Grenadines,1.5,1,0,18
74.0,San_Marino,54.3,2,4,665
80.0,Sao_Tome_and_Principe,44.2,2,40,291
6.0,Saudi_Arabia,76.2,1,2442,70161
72.0,Senegal,5.2,0,67,2976
48.0,Serbia,11.5,2,68,11092
197.0,Seychelles,0.0,1,0,11
114.0,Sierra_Leone,2.5,0,15,621
18.0,Singapore,89.6,1,642,31068
151.0,Sint_Maarten,4.0,2,0,78
141.0,Slovakia,0.3,0,1,1504
132.0,Slovenia,1.0,2,0,1478
100.0,Somalia,1.9,0,0,1594
21.0,South_Africa,16.8,2,1218,21343
89.0,South_Korea,0.4,2,25,11190
102.0,South_Sudan,4.3,2,224,563
15.0,Spain,13.1,2,0,235290
120.0,Sri_Lanka,0.8,0,21,1089
61.0,Sudan,5.3,2,250,3628
174.0,Suriname,0.3,1,0,11
17.0,Sweden,49.8,2,379,33188
70.0,Switzerland,2.7,0,18,30642
161.0,Syria,0.1,1,11,70
162.0,Taiwan,0.0,1,0,441
50.0,Tajikistan,18.8,1,201,2551
142.0,Thailand,0.0,1,0,3040
186.0,Timor_Leste,0.0,1,0,24
135.0,Togo,1.5,0,10,373
180.0,Trinidad_and_Tobago,0.0,1,0,116
139.0,Tunisia,0.2,1,0,1048
13.0,Turkey,12.7,0,1186,155686
146.0,Uganda,0.3,0,48,312
41.0,Ukraine,8.5,0,432,20580
12.0,United_Arab_Emirates,92.5,2,812,28704
7.0,United_Kingdom,26.3,0,0,254195
157.0,United_Republic_of_Tanzania,0.0,1,0,509
2.0,United_States_of_America,69.2,1,21236,1622670
188.0,United_States_Virgin_Islands,0.0,1,0,69
137.0,Uruguay,1.4,2,11,764
86.0,Uzbekistan,1.6,2,0,3078
99.0,Venezuela,2.3,2,0,944
158.0,Vietnam,0.0,1,0,324
145.0,Yemen,0.5,1,7,212
111.0,Zambia,1.6,2,0,920
164.0,Zimbabwe,0.1,1,0,56
